_H:	|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#PctNameErr	#CosDiff	#PerTrlMSec	#OrthoCode ActAvg	#Hidden ActAvg
_D:	0	104	0.2808	0.002005	0.1038	0.8962	0.06307	0.9939	29.82	0.09632	0.1128
_D:	0	105	0.2843	0.00203	0.09381	0.9062	0.06804	1.003	30.09	0.09724	0.1129
_D:	0	106	0.3104	0.002217	0.1021	0.8979	0.06742	0.9798	29.35	0.09527	0.1127
_D:	0	107	0.2993	0.002138	0.0982	0.9018	0.07114	0.9704	29.18	0.09793	0.1127
_D:	0	108	0.2487	0.001777	0.08848	0.9115	0.06481	1.018	30.39	0.09707	0.1131
_D:	0	109	0.2647	0.001891	0.0897	0.9103	0.05912	0.9813	29.49	0.09746	0.1124
_D:	0	110	0.2749	0.001963	0.09381	0.9062	0.05988	0.9692	29.02	0.0956	0.113
_D:	0	111	0.2587	0.001848	0.08008	0.9199	0.05374	1.046	31.4	0.09673	0.1132
_D:	0	112	0.2131	0.001522	0.08161	0.9184	0.05475	0.9725	29.31	0.09563	0.1123
_D:	0	113	0.223	0.001593	0.07526	0.9247	0.04845	0.9899	30.09	0.09661	0.113
_D:	0	114	0.277	0.001978	0.08607	0.9139	0.0625	0.9839	29.41	0.09759	0.1129
_D:	0	115	0.2014	0.001438	0.07503	0.925	0.04933	0.9954	29.74	0.09619	0.1127
_D:	0	116	0.192	0.001371	0.06757	0.9324	0.0395	1.004	29.85	0.09565	0.1131
_D:	0	117	0.1683	0.001202	0.05956	0.9404	0.04284	0.9989	29.71	0.09677	0.1128
_D:	0	118	0.2905	0.002075	0.08772	0.9123	0.06708	0.9772	29.21	0.09692	0.1132
_D:	0	119	0.2	0.001428	0.07485	0.9251	0.0489	0.9596	28.68	0.0976	0.1134
_D:	0	120	0.2245	0.001604	0.07582	0.9242	0.05086	0.9535	28.81	0.09753	0.113
_D:	0	121	0.274	0.001957	0.09494	0.9051	0.07173	1.089	32.9	0.09522	0.1125
_D:	0	122	0.1925	0.001375	0.05998	0.94	0.04447	0.9731	29.01	0.09562	0.1126
_D:	0	123	0.1733	0.001238	0.0668	0.9332	0.04885	0.9576	28.54	0.09461	0.1119
_D:	0	124	0.2337	0.001669	0.08445	0.9156	0.05767	1.024	30.85	0.0966	0.1126
_D:	0	125	0.1668	0.001191	0.04738	0.9526	0.03554	0.9524	28.44	0.09691	0.1126
_D:	0	126	0.2078	0.001485	0.07609	0.9239	0.0504	0.9933	29.69	0.09732	0.1127
_D:	0	127	0.1613	0.001152	0.05506	0.9449	0.03604	1.007	30.06	0.09582	0.1129
_D:	0	128	0.298	0.002129	0.06739	0.9326	0.04955	0.9797	29.33	0.09717	0.1126
_D:	0	129	0.1678	0.001198	0.05604	0.944	0.04155	0.9686	28.88	0.09675	0.1132
_D:	0	130	0.09103	0.0006502	0.04192	0.9581	0.02894	1.029	30.5	0.09639	0.1129
_D:	0	131	0.1312	0.0009368	0.04724	0.9528	0.02915	1.002	29.81	0.09446	0.1125
_D:	0	132	0.1703	0.001216	0.06618	0.9338	0.04832	1.039	30.93	0.09636	0.1131
_D:	0	133	0.1549	0.001107	0.05369	0.9463	0.03643	0.9069	26.99	0.09797	0.1132
_D:	0	134	0.183	0.001307	0.06334	0.9367	0.04154	1.076	32.02	0.09836	0.1131
_D:	0	135	0.1458	0.001041	0.05637	0.9436	0.0379	0.9303	27.68	0.0972	0.1126
_D:	0	136	0.2627	0.001877	0.07341	0.9266	0.05754	1.011	30.2	0.09658	0.1127
_D:	0	137	0.1631	0.001165	0.0546	0.9454	0.03539	1.013	30.06	0.09719	0.1125
_D:	0	138	0.1145	0.0008178	0.04864	0.9514	0.03113	0.9575	28.66	0.09614	0.1128
_D:	0	139	0.1811	0.001294	0.0569	0.9431	0.03899	1.077	31.99	0.09807	0.1131
_D:	0	140	0.1238	0.0008843	0.03776	0.9622	0.02449	0.9636	28.84	0.09574	0.113
_D:	0	141	0.1351	0.0009651	0.05489	0.9451	0.03693	0.9728	29.09	0.09762	0.1129
_D:	0	142	0.1578	0.001127	0.05711	0.9429	0.0405	1.035	30.73	0.09835	0.1132
_D:	0	143	0.1583	0.001131	0.05058	0.9494	0.03899	1.009	29.95	0.09849	0.113
_D:	0	144	0.1649	0.001178	0.05949	0.9405	0.04103	0.9672	28.8	0.0963	0.1127
_D:	0	145	0.2021	0.001444	0.06979	0.9302	0.04896	1.008	29.98	0.09693	0.1124
_D:	0	146	0.1225	0.0008749	0.05327	0.9467	0.03015	0.9599	28.52	0.09728	0.1129
_D:	0	147	0.09228	0.0006591	0.0418	0.9582	0.02612	1.036	30.7	0.0972	0.1127
_D:	0	148	0.2016	0.00144	0.0592	0.9408	0.04123	1.004	29.88	0.09708	0.1127
_D:	0	149	0.1511	0.001079	0.04927	0.9507	0.03564	0.986	29.41	0.09559	0.1128
_D:	0	150	0.1364	0.0009746	0.05252	0.9475	0.03296	0.9773	29.08	0.09715	0.1127
_D:	0	151	0.1586	0.001133	0.04576	0.9542	0.03311	0.9396	27.95	0.09774	0.113
_D:	0	152	0.1381	0.0009862	0.04975	0.9503	0.0335	1.037	30.79	0.09787	0.1131
_D:	0	153	0.1626	0.001162	0.04559	0.9544	0.0304	0.992	29.4	0.09652	0.1127
_D:	0	154	0.129	0.0009215	0.05986	0.9401	0.03302	1.014	30.08	0.09723	0.1129
_D:	0	155	0.1476	0.001054	0.05171	0.9483	0.03619	0.9965	29.6	0.09574	0.1128
_D:	0	156	0.1291	0.0009219	0.05414	0.9459	0.03779	0.9827	29.22	0.09636	0.1129
_D:	0	157	0.2114	0.00151	0.05769	0.9423	0.03947	0.9833	29.31	0.09732	0.1128
_D:	0	158	0.1599	0.001142	0.05085	0.9492	0.0339	0.9792	29.04	0.09809	0.1132
_D:	0	159	0.1336	0.000954	0.04748	0.9525	0.03165	0.9869	29.32	0.09814	0.1124
_D:	0	160	0.2116	0.001512	0.06162	0.9384	0.04242	1.014	30.22	0.09639	0.1132
_D:	0	161	0.1325	0.0009465	0.04464	0.9554	0.03075	0.977	28.99	0.09758	0.1132
_D:	0	162	0.1185	0.0008468	0.03889	0.9611	0.02661	1.027	30.49	0.09662	0.1124
_D:	0	163	0.1183	0.0008452	0.04564	0.9544	0.02801	1.009	29.86	0.09719	0.1132
_D:	0	164	0.1785	0.001275	0.05301	0.947	0.04281	0.9761	28.97	0.0975	0.1129
_D:	0	165	0.1043	0.0007449	0.03955	0.9604	0.02333	0.9908	29.4	0.097	0.1125
_D:	0	166	0.1393	0.000995	0.05503	0.945	0.04233	1.038	30.89	0.09767	0.1128
_D:	0	167	0.1114	0.0007955	0.04054	0.9595	0.02183	0.9779	28.93	0.09699	0.113
_D:	0	168	0.1305	0.0009324	0.03834	0.9617	0.02982	1.019	30.24	0.09687	0.1127
_D:	0	169	0.115	0.0008215	0.03653	0.9635	0.0261	0.9756	29	0.09869	0.1133
_D:	0	170	0.1281	0.0009149	0.04767	0.9523	0.02902	0.9879	29.45	0.09696	0.1125
_D:	0	171	0.09255	0.0006611	0.03801	0.962	0.02429	1.015	30.03	0.09784	0.1132
_D:	0	172	0.1909	0.001363	0.04673	0.9533	0.03115	0.9763	29.06	0.09886	0.1133
_D:	0	173	0.1396	0.0009974	0.03971	0.9603	0.03259	0.9754	29.41	0.09815	0.1136
_D:	0	174	0.1018	0.0007273	0.04348	0.9565	0.02757	1.037	31.42	0.09837	0.1131
_D:	0	175	0.1007	0.0007195	0.03597	0.964	0.02878	0.9651	28.57	0.09856	0.1135
_D:	0	176	0.1418	0.001013	0.0427	0.9573	0.03078	0.9607	28.44	0.09676	0.1127
_D:	0	177	0.1065	0.0007609	0.03908	0.9609	0.02305	1.005	29.8	0.09793	0.1132
_D:	0	178	0.1586	0.001133	0.04245	0.9576	0.02962	0.9793	29.17	0.09634	0.1127
_D:	0	179	0.1348	0.0009626	0.05078	0.9492	0.03212	1.045	31.1	0.09725	0.113
_D:	0	180	0.1271	0.0009081	0.03958	0.9604	0.02317	0.9266	27.61	0.09875	0.1127
_D:	0	181	0.1586	0.001133	0.05057	0.9494	0.03715	1.063	31.93	0.09788	0.1132
_D:	0	182	0.1124	0.0008027	0.03947	0.9605	0.02328	0.9765	29.09	0.09831	0.1133
_D:	0	183	0.09128	0.000652	0.03749	0.9625	0.02229	0.9972	29.66	0.1001	0.1135
_D:	0	184	0.08275	0.0005911	0.03777	0.9622	0.02187	0.9776	29.09	0.09827	0.1137
_D:	0	185	0.1262	0.0009016	0.02956	0.9704	0.02243	1.021	30.44	0.0975	0.1129
_D:	0	186	0.1317	0.0009405	0.03233	0.9677	0.02398	1.018	30.02	0.09687	0.1128
_D:	0	187	0.1409	0.001006	0.04242	0.9576	0.0303	0.9634	28.58	0.09719	0.1129
_D:	0	188	0.1671	0.001193	0.05247	0.9475	0.03734	0.9927	29.4	0.09854	0.1132
_D:	0	189	0.123	0.0008788	0.04121	0.9588	0.02915	0.9912	29.28	0.0989	0.1129
_D:	0	190	0.1219	0.0008706	0.0403	0.9597	0.02757	1.05	31.13	0.09911	0.1136
_D:	0	191	0.1205	0.0008609	0.03226	0.9677	0.02151	0.9171	27.09	0.09744	0.1129
_D:	0	192	0.1305	0.0009321	0.03596	0.964	0.02697	1.017	30.07	0.09735	0.1132
_D:	0	193	0.1445	0.001032	0.03984	0.9602	0.0311	0.9673	28.83	0.09862	0.1132
_D:	0	194	0.1379	0.0009851	0.04451	0.9555	0.02899	1.06	31.47	0.09835	0.1125
_D:	0	195	0.06118	0.000437	0.02604	0.974	0.01562	1.003	29.76	0.09925	0.1131
_D:	0	196	0.09899	0.0007071	0.03069	0.9693	0.01881	0.9465	28.04	0.0979	0.1132
_D:	0	197	0.1088	0.0007772	0.029	0.971	0.023	1.006	29.75	0.09798	0.1133
_D:	0	198	0.1057	0.0007549	0.03279	0.9672	0.01844	1.02	30.23	0.09697	0.1129
_D:	0	199	0.1612	0.001151	0.03472	0.9653	0.0248	0.9621	28.43	0.09976	0.1131
_D:	0	200	0.1398	0.0009986	0.03762	0.9624	0.02612	1.048	30.93	0.09834	0.1134
_D:	0	201	0.0712	0.0005086	0.02838	0.9716	0.01747	1.042	30.65	0.0983	0.1134
_D:	0	202	0.05364	0.0003831	0.02301	0.977	0.0163	0.8759	26.03	0.09928	0.1129
_D:	0	203	0.09775	0.0006982	0.03138	0.9686	0.02328	1.052	31.08	0.09831	0.1135
_D:	0	204	0.1262	0.0009018	0.0376	0.9624	0.02744	0.9993	29.47	0.0997	0.1134
_D:	0	205	0.1008	0.0007197	0.03731	0.9627	0.02665	1.045	30.89	0.09783	0.1135
_D:	0	206	0.1182	0.0008446	0.03104	0.969	0.02328	0.9053	26.77	0.09943	0.1133
_D:	0	207	0.05454	0.0003896	0.02414	0.9759	0.0161	1.035	30.41	0.09792	0.1128
_D:	0	208	0.08654	0.0006181	0.01892	0.9811	0.01295	0.9865	29.13	0.1002	0.1136
_D:	0	209	0.1009	0.0007206	0.02543	0.9746	0.01831	1.017	30.04	0.09967	0.1133
_D:	0	210	0.1199	0.0008563	0.03289	0.9671	0.02364	1.006	29.63	0.09734	0.1126
_D:	0	211	0.06416	0.0004583	0.02532	0.9747	0.0211	1.024	30.13	0.1012	0.1137
_D:	0	212	0.09345	0.0006675	0.02299	0.977	0.01358	0.9868	29.26	0.09795	0.1137
_D:	0	213	0.1222	0.0008728	0.02648	0.9735	0.01935	0.9699	28.87	0.09842	0.1136
_D:	0	214	0.04334	0.0003096	0.01611	0.9839	0.01208	0.987	29.26	0.09878	0.1132
_D:	0	215	0.06818	0.000487	0.01994	0.9801	0.0114	0.9402	27.84	0.1009	0.1136
_D:	0	216	0.06313	0.0004509	0.01996	0.98	0.01471	1.103	32.82	0.0985	0.1132
_D:	0	217	0.05474	0.000391	0.01687	0.9831	0.01091	0.9421	28.11	0.1006	0.1136
_D:	0	218	0.07406	0.000529	0.0219	0.9781	0.01356	1.048	31.58	0.09833	0.1132
_D:	0	219	0.05111	0.000365	0.01626	0.9837	0.01118	0.9722	28.96	0.09794	0.1132
_D:	0	220	0.07422	0.0005301	0.0277	0.9723	0.01682	0.9702	28.54	0.09897	0.1138
_D:	0	221	0.0671	0.0004793	0.02018	0.9798	0.01715	1.017	29.93	0.09918	0.1128
_D:	0	222	0.03778	0.0002698	0.01468	0.9853	0.01258	1.037	30.48	0.09843	0.1135
_D:	0	223	0.04955	0.0003539	0.01527	0.9847	0.01018	0.9692	28.52	0.09979	0.1132
_D:	0	224	0.06552	0.000468	0.01827	0.9817	0.01624	0.9941	29.55	0.09897	0.1135
_D:	0	225	0.1154	0.0008239	0.02165	0.9783	0.01476	0.9651	28.52	0.09974	0.1136
_D:	0	226	0.0714	0.00051	0.02648	0.9735	0.01833	1.032	30.29	0.09826	0.1134
_D:	0	227	0.09323	0.0006659	0.02388	0.9761	0.01791	0.9734	29.31	0.09867	0.1135
_D:	0	228	0.07228	0.0005163	0.0186	0.9814	0.01343	1.035	31.1	0.09893	0.1138
_D:	0	229	0.04985	0.0003561	0.02036	0.9796	0.01393	1.035	30.6	0.09904	0.1131
_D:	0	230	0.08508	0.0006077	0.0194	0.9806	0.01455	0.9016	26.59	0.1003	0.1129
_D:	0	231	0.05702	0.0004073	0.01646	0.9835	0.01235	1.058	31.09	0.09985	0.1135
_D:	0	232	0.09262	0.0006615	0.02727	0.9727	0.02222	0.9782	28.75	0.09779	0.1127
_D:	0	233	0.05173	0.0003695	0.02012	0.9799	0.01408	0.9935	29.22	0.09639	0.1138
_D:	0	234	0.1068	0.0007631	0.02749	0.9725	0.02138	1.008	29.74	0.09886	0.1139
_D:	0	235	0.08223	0.0005873	0.01848	0.9815	0.01643	1.005	29.54	0.09943	0.1133
_D:	0	236	0.07824	0.0005588	0.02145	0.9785	0.01736	0.9918	29.08	0.1008	0.1138
_D:	0	237	0.0612	0.0004371	0.0216	0.9784	0.0144	1.005	29.51	0.0992	0.1133
_D:	0	238	0.06839	0.0004885	0.01892	0.9811	0.01494	0.9652	28.89	0.1001	0.1138
_D:	0	239	0.05977	0.0004269	0.02596	0.974	0.01454	1.04	30.92	0.09988	0.1132
_D:	0	240	0.0603	0.0004307	0.01826	0.9817	0.01318	0.974	28.6	0.09958	0.1138
_D:	0	241	0.1163	0.0008309	0.02535	0.9746	0.01927	0.9956	29.31	0.09979	0.1135
_D:	0	242	0.07941	0.0005672	0.01885	0.9812	0.01389	0.9751	28.61	0.09937	0.113
_D:	0	243	0.05349	0.0003821	0.01967	0.9803	0.01449	1.041	30.59	0.1002	0.1135
_D:	0	244	0.03307	0.0002362	0.01328	0.9867	0.01021	0.9849	28.97	0.09984	0.1134
_D:	0	245	0.06453	0.0004609	0.02427	0.9757	0.01719	0.9871	28.99	0.099	0.1139
_D:	0	246	0.05938	0.0004242	0.01923	0.9808	0.01346	0.9485	27.86	0.09876	0.1132
_D:	0	247	0.1088	0.0007768	0.02358	0.9764	0.01608	1.11	32.68	0.09826	0.1129
_D:	0	248	0.04828	0.0003448	0.01799	0.982	0.01376	0.985	29.04	0.0995	0.1133
_D:	0	249	0.09263	0.0006616	0.02681	0.9732	0.01589	0.9349	27.46	0.09958	0.1133
_D:	0	250	0.07373	0.0005266	0.01915	0.9808	0.01613	1.012	29.76	0.09908	0.1137
_D:	0	251	0.05956	0.0004254	0.02291	0.9771	0.01394	0.9855	28.89	0.09915	0.1133
_D:	0	252	0.08445	0.0006032	0.02072	0.9793	0.01527	1.092	32.09	0.09963	0.1135
_D:	0	253	0.05713	0.0004081	0.01855	0.9814	0.009766	0.8931	26.25	0.101	0.1137
