_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#OShidden ActAvg
_D:,0,152,0,0,0,1,0.9992,0.2
_D:,0,153,0.2447,0.003452,0.025,0.975,0.9721,0.2
_D:,0,154,0.466,0.006427,0.05,0.95,0.9483,0.2
_D:,0,155,0.06024,0.0005939,0.025,0.975,0.9938,0.2
_D:,0,156,0,0,0,1,0.9992,0.2
_D:,0,157,0,0,0,1,0.9993,0.2
_D:,0,158,0,0,0,1,0.9993,0.2
_D:,0,159,0.1736,0.002478,0.025,0.975,0.9795,0.2
_D:,0,160,1.47,0.01602,0.175,0.825,0.8967,0.2
_D:,0,161,0.2564,0.003724,0.05,0.95,0.9684,0.2
_D:,0,162,0.3463,0.004782,0.05,0.95,0.9603,0.2
_D:,0,163,1.382,0.01374,0.15,0.85,0.9184,0.2
_D:,0,164,0.1956,0.002757,0.05,0.95,0.9763,0.2
_D:,0,165,0.152,0.002252,0.025,0.975,0.9816,0.2
_D:,0,166,0.6095,0.008372,0.075,0.925,0.9319,0.2
_D:,0,167,1.333,0.01477,0.175,0.825,0.9077,0.2
_D:,0,168,0.8497,0.009949,0.125,0.875,0.9313,0.2
_D:,0,169,0.2655,0.003525,0.05,0.95,0.9694,0.2
_D:,0,170,0.6622,0.006424,0.1,0.9,0.9635,0.2
_D:,0,171,0.3427,0.004501,0.075,0.925,0.963,0.2
_D:,0,172,0.8669,0.007585,0.075,0.925,0.9635,0.2
_D:,0,173,0.1704,0.002202,0.025,0.975,0.9789,0.2
_D:,0,174,0,0,0,1,0.9991,0.2
_D:,0,175,0,0,0,1,0.9994,0.2
_D:,0,176,0,0,0,1,0.9993,0.2
_D:,0,177,0.4178,0.005506,0.05,0.95,0.9542,0.2
_D:,0,178,0.5158,0.004568,0.05,0.95,0.9791,0.2
_D:,0,179,0.266,0.003831,0.05,0.95,0.9682,0.2
_D:,0,180,0.8584,0.01203,0.1,0.9,0.9001,0.2
_D:,0,181,0.7204,0.007538,0.1,0.9,0.9538,0.2
_D:,0,182,0.5648,0.00678,0.125,0.875,0.9494,0.2
_D:,0,183,0,0,0,1,0.9992,0.2
_D:,0,184,0.2763,0.004131,0.05,0.95,0.967,0.2
_D:,0,185,0.3631,0.004026,0.05,0.95,0.9729,0.2
_D:,0,186,0,0,0,1,0.9993,0.2
_D:,0,187,0.5728,0.004988,0.025,0.975,0.9711,0.2
_D:,0,188,0.2866,0.003594,0.05,0.95,0.9698,0.2
_D:,0,189,0.08575,0.001273,0.025,0.975,0.9912,0.2
_D:,0,190,0.8659,0.00977,0.1,0.9,0.9371,0.2
_D:,0,191,0,0,0,1,0.9992,0.2
_D:,0,192,0.6189,0.008474,0.075,0.925,0.9318,0.2
_D:,0,193,0.4536,0.005766,0.1,0.9,0.9555,0.2
_D:,0,194,0.7649,0.007963,0.05,0.95,0.9539,0.2
_D:,0,195,0.4358,0.003714,0.05,0.95,0.982,0.2
_D:,0,196,0.9168,0.01057,0.1,0.9,0.9264,0.2
_D:,0,197,0.3308,0.004799,0.05,0.95,0.9614,0.2
_D:,0,198,0.7434,0.007954,0.075,0.925,0.9516,0.2
_D:,0,199,0.1577,0.002145,0.05,0.95,0.9818,0.2
_D:,0,200,1.597,0.01742,0.225,0.775,0.8871,0.2
_D:,0,201,0.6575,0.006565,0.075,0.925,0.9616,0.2
_D:,0,202,1.111,0.01024,0.125,0.875,0.9488,0.2
_D:,0,203,0.1674,0.002331,0.075,0.925,0.9811,0.2
_D:,0,204,0.2407,0.003379,0.025,0.975,0.972,0.2
_D:,0,205,0.2184,0.00182,0.025,0.975,0.9911,0.2
_D:,0,206,0.4503,0.006451,0.05,0.95,0.9471,0.2
_D:,0,207,0.2415,0.003448,0.025,0.975,0.972,0.2
_D:,0,208,0.0674,0.001404,0.025,0.975,0.989,0.2
_D:,0,209,0.875,0.009852,0.1,0.9,0.9359,0.2
_D:,0,210,0.5853,0.004996,0.05,0.95,0.9763,0.2
_D:,0,211,0.3213,0.005079,0.075,0.925,0.9611,0.2
_D:,0,212,0.07147,0.001447,0.025,0.975,0.9888,0.2
_D:,0,213,0.3191,0.00266,0.025,0.975,0.9865,0.2
_D:,0,214,0.4372,0.006341,0.075,0.925,0.9503,0.2
_D:,0,215,0.2501,0.003751,0.05,0.95,0.9682,0.2
_D:,0,216,0.2475,0.003309,0.05,0.95,0.9731,0.2
_D:,0,217,0.00789,0.0001644,0.025,0.975,0.9977,0.2
_D:,0,218,0,0,0,1,0.9994,0.2
_D:,0,219,0,0,0,1,0.9995,0.2
_D:,0,220,0,0,0,1,0.9994,0.2
_D:,0,221,0,0,0,1,0.9995,0.2
_D:,0,222,0,0,0,1,0.9995,0.2
_D:,0,223,0.6274,0.00865,0.1,0.9,0.9306,0.2
_D:,0,224,0.2197,0.00295,0.025,0.975,0.9757,0.2
_D:,0,225,0.6571,0.006481,0.05,0.95,0.9648,0.2
_D:,0,226,0.153,0.002036,0.025,0.975,0.9831,0.2
_D:,0,227,0.3822,0.005104,0.05,0.95,0.9593,0.2
_D:,0,228,0,0,0,1,0.9996,0.2
_D:,0,229,0,0,0,1,0.9996,0.2
_D:,0,230,0,0,0,1,0.9996,0.2
_D:,0,231,0,0,0,1,0.9995,0.2
_D:,0,232,0,0,0,1,0.9995,0.2
_D:,0,233,0,0,0,1,0.9996,0.2
