|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeCT ActAvg	#EncodeCT Hog	#EncodeCT Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltCT ActAvg	#GestaltCT Hog	#GestaltCT Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
0	25	13.02	0.5116	0.009302	0.3509	0.6491	0.6909	0.2838	0.005675	0.3508	0.6492	0.6085	0.2095	0.3947	0.168	0.4937	0.3019	0.5783	0.2496	0.7138	0.8156	0.6522	0.8504	0.5671	0.207	0.09028	0	0.1069	0.1042	0.2778	0.05392	0	0.3472	0.03377	0	0.1389	0.1459	0	0.01389
0	26	12.89	0.4781	0.008693	0.3371	0.6629	0.7089	0.2812	0.005624	0.3397	0.6603	0.6097	0.2419	0.3697	0.174	0.4582	0.3363	0.5326	0.246	0.6509	0.7954	0.6754	0.8615	0.5893	0.207	0.09722	0	0.1073	0.1181	0.2986	0.05472	0.01389	0.3681	0.03394	0	0.1458	0.1448	0	0.01389
0	27	13.39	0.4506	0.008193	0.3182	0.6818	0.7115	0.2938	0.005876	0.3654	0.6346	0.6011	0.2056	0.3433	0.146	0.4557	0.29	0.487	0.2257	0.6213	0.818	0.6853	0.869	0.5852	0.2074	0.1181	0	0.1071	0.125	0.2917	0.05317	0.01389	0.3403	0.034	0	0.1389	0.1465	0	0.01389
0	28	13.68	0.5475	0.009954	0.3607	0.6393	0.6687	0.2733	0.005467	0.3427	0.6573	0.6167	0.2227	0.4113	0.196	0.4784	0.3469	0.6161	0.3094	0.711	0.795	0.6226	0.8216	0.5584	0.2074	0.09028	0	0.1073	0.1042	0.2431	0.05269	0.01389	0.3264	0.03406	0	0.08333	0.1449	0	0.006944
0	29	13.56	0.4395	0.007991	0.3019	0.6981	0.7267	0.2704	0.005409	0.3285	0.6715	0.6248	0.2176	0.3325	0.148	0.4203	0.3104	0.492	0.2209	0.6049	0.8106	0.6894	0.8648	0.6211	0.2073	0.05556	0	0.1074	0.09722	0.2361	0.05373	0.01389	0.2986	0.03408	0	0.08333	0.145	0	0.01389
0	30	13.42	0.4813	0.008751	0.3346	0.6654	0.7024	0.278	0.00556	0.333	0.667	0.6178	0.2371	0.3521	0.152	0.4833	0.3319	0.5148	0.2208	0.6924	0.8014	0.6756	0.864	0.5713	0.2078	0.1389	0	0.1064	0.09028	0.2292	0.05398	0.006944	0.3472	0.0336	0	0.09028	0.1459	0	0.01389
0	31	13	0.473	0.008601	0.3203	0.6797	0.7065	0.2911	0.005821	0.3472	0.6528	0.6062	0.2333	0.3298	0.16	0.4436	0.3412	0.4902	0.2482	0.6399	0.7912	0.6933	0.8521	0.5951	0.2072	0.08333	0	0.1057	0.09722	0.2153	0.05374	0	0.3403	0.03373	0	0.06944	0.1455	0	0.01389
0	32	12.97	0.4316	0.007848	0.2908	0.7092	0.7451	0.2631	0.005261	0.3356	0.6644	0.6352	0.1762	0.337	0.152	0.3939	0.2546	0.507	0.2348	0.573	0.8436	0.7064	0.8706	0.6497	0.2067	0.06944	0	0.1071	0.1042	0.2431	0.05379	0.006944	0.3264	0.03418	0	0.1181	0.1449	0	0.01389
0	33	13.05	0.4793	0.008714	0.322	0.678	0.714	0.2796	0.005591	0.3419	0.6581	0.6135	0.2284	0.3361	0.148	0.4617	0.3398	0.5004	0.2208	0.6867	0.7993	0.6996	0.8735	0.5836	0.2059	0.0625	0	0.1076	0.09722	0.2292	0.05364	0.02083	0.3333	0.03411	0	0.08333	0.1467	0	0.01389
0	34	12.89	0.4591	0.008348	0.301	0.699	0.7281	0.2677	0.005355	0.3233	0.6767	0.6339	0.1983	0.3419	0.156	0.4086	0.2958	0.5286	0.2459	0.6132	0.8278	0.6839	0.8575	0.633	0.2076	0.08333	0	0.107	0.1042	0.2569	0.05392	0.01389	0.3472	0.03372	0	0.1111	0.1458	0.006944	0.01389
0	35	12.9	0.4333	0.007877	0.2897	0.7103	0.7347	0.283	0.005659	0.3468	0.6532	0.6162	0.2045	0.3002	0.15	0.3934	0.2831	0.4675	0.2409	0.5674	0.8225	0.7171	0.8611	0.6416	0.2076	0.08333	0	0.1069	0.1111	0.2361	0.05416	0.006944	0.3472	0.03375	0	0.09722	0.146	0	0.01389
