_H:	|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeD ActAvg	#EncodeD Hog	#EncodeD Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltD ActAvg	#GestaltD Hog	#GestaltD Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
_D:	0	45	19.99	0.4417	0.008032	0.2726	0.7274	0.7377	0.2824	0.005648	0.3259	0.6741	0.6196	0.1412	0.3392	0.138	0.3737	0.2286	0.5498	0.2307	0.5966	0.8652	0.6727	0.8665	0.6414	0.2063	0.09028	0	0.1033	0.06944	0.2431	0.05346	0.006944	0.2917	0.03356	0	0.05556	0.1463	0	0.006944
_D:	0	46	19.99	0.411	0.007472	0.2661	0.7339	0.7577	0.2675	0.00535	0.3359	0.6641	0.6299	0.1474	0.3373	0.136	0.3639	0.2081	0.5432	0.2227	0.5459	0.8755	0.6818	0.8696	0.677	0.2046	0.08333	0	0.1041	0.06944	0.2292	0.05405	0.006944	0.2708	0.03411	0	0.08333	0.1461	0	0.006944
_D:	0	47	20.1	0.4421	0.008039	0.2839	0.7161	0.735	0.2929	0.005858	0.3386	0.6614	0.6104	0.1747	0.3075	0.16	0.3702	0.2576	0.4894	0.26	0.5625	0.8415	0.7097	0.8499	0.6554	0.2049	0.08333	0	0.1035	0.07639	0.2083	0.05419	0.006944	0.3264	0.03389	0	0.06944	0.1465	0	0
_D:	0	48	20.03	0.4064	0.00739	0.2626	0.7374	0.756	0.2803	0.005606	0.3184	0.6816	0.6161	0.1568	0.319	0.14	0.352	0.2409	0.4957	0.2244	0.5349	0.8554	0.7024	0.8739	0.6679	0.2061	0.0625	0	0.1037	0.06944	0.2083	0.05451	0.006944	0.3056	0.03361	0	0.07639	0.1486	0	0.006944
_D:	0	49	20.04	0.4314	0.007844	0.2723	0.7277	0.7439	0.2568	0.005137	0.311	0.689	0.64	0.1705	0.3107	0.124	0.3904	0.2599	0.5021	0.2106	0.6009	0.8399	0.7076	0.8803	0.6366	0.2039	0.0625	0	0.1048	0.07639	0.2083	0.05382	0.006944	0.2708	0.03392	0	0.06944	0.1465	0	0.006944
_D:	0	50	19.99	0.4306	0.007828	0.2743	0.7257	0.745	0.2781	0.005563	0.3288	0.6712	0.6267	0.1905	0.3197	0.152	0.3606	0.2884	0.5168	0.2453	0.5573	0.8288	0.6946	0.8597	0.6636	0.2061	0.07639	0	0.1031	0.07639	0.2222	0.0529	0.006944	0.3333	0.03364	0	0.06944	0.1468	0	0.006944
_D:	0	51	20.03	0.5133	0.009333	0.3156	0.6844	0.7011	0.292	0.00584	0.3442	0.6558	0.6097	0.1895	0.3545	0.174	0.4165	0.3015	0.5822	0.286	0.6735	0.8262	0.6596	0.8318	0.61	0.2069	0.09722	0	0.1033	0.06944	0.1806	0.05309	0.006944	0.3194	0.03366	0	0.05556	0.1484	0	0.006944
_D:	0	52	20.04	0.4375	0.007954	0.2753	0.7247	0.7434	0.3081	0.006161	0.3554	0.6446	0.5991	0.1638	0.3126	0.142	0.375	0.2569	0.4998	0.238	0.5803	0.8493	0.7068	0.8626	0.6567	0.2076	0.08333	0	0.1046	0.06944	0.2153	0.05334	0.006944	0.3056	0.03382	0	0.07639	0.1468	0	0.006944
_D:	0	53	20	0.4466	0.008121	0.2807	0.7193	0.7352	0.2979	0.005957	0.3591	0.6409	0.6029	0.1927	0.3044	0.154	0.3708	0.3051	0.4861	0.248	0.5864	0.8204	0.7106	0.8546	0.6504	0.2057	0.09028	0	0.1044	0.07639	0.2014	0.05435	0.006944	0.3194	0.03382	0	0.08333	0.1467	0	0
_D:	0	54	20.03	0.4277	0.007776	0.272	0.728	0.7459	0.2781	0.005561	0.3166	0.6834	0.628	0.1603	0.3333	0.124	0.3909	0.2424	0.5349	0.2016	0.606	0.8507	0.6881	0.8863	0.6322	0.2045	0.08333	0	0.1045	0.06944	0.2222	0.05327	0.006944	0.3125	0.03386	0	0.07639	0.1468	0	0.006944
